CNPJ,CVM,DENOM_CIA,DT_REFER,ANO_REFER,ativo_total,ativo_circulante,recebiveis,imobilizado,passivo_circulante,divida_longo_prazo,receita_liquida,resultado_bruto,despesas_vendas,despesas_gerais_adm,resultado_liquido,depreciacao,fco
16922038000151,25259,ENJOEI S.A.,2024-12-31,2024,422174.0,237806.0,23790.0,22024.0,68071.0,0.0,265221.0,148553.0,-56890.0,-129828.0,-23935.0,-36089.0,4924.0
16922038000151,25259,ENJOEI S.A.,2025-12-31,2025,455101.0,333025.0,83940.0,17236.0,134818.0,0.0,263964.0,147078.0,-48287.0,-128239.0,-16788.0,-39553.0,23165.0
17359233000188,26760,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A.,2022-12-31,2022,2248459.0,1850006.0,994024.0,306276.0,515491.0,196058.0,4468988.0,1102140.0,-349829.0,-254959.0,440973.0,-19226.0,171941.0
17359233000188,26760,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A.,2023-12-31,2023,2623280.0,1993923.0,1040279.0,528306.0,535627.0,338833.0,4729161.0,1082856.0,-426817.0,-237830.0,331590.0,-27100.0,302934.0
17359233000188,26760,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A.,2024-12-31,2024,2920928.0,1937111.0,949668.0,858156.0,687612.0,579402.0,5014989.0,1146756.0,-510690.0,-279440.0,267102.0,-43700.0,275785.0
17359233000188,26760,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A.,2025-12-31,2025,3301830.0,2236776.0,1068270.0,923587.0,1484831.0,631007.0,5464805.0,1335041.0,-589621.0,-351506.0,250330.0,-66907.0,103133.0
18328118000109,25089,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,2021-12-31,2021,3447347.0,1362704.0,259605.0,1401390.0,699604.0,97813.0,2097525.0,1012866.0,-619457.0,-185839.0,75036.0,-189130.0,165194.0
18328118000109,25089,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,2022-12-31,2022,3647129.0,1089232.0,328299.0,1744660.0,737213.0,26832.0,2834533.0,1350572.0,-847683.0,-301661.0,50590.0,-267070.0,202790.0
18328118000109,25089,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,2023-12-31,2023,3995411.0,1378657.0,364273.0,1714769.0,760020.0,387685.0,3173241.0,1481788.0,-966467.0,-337027.0,16349.0,-322936.0,429095.0
18328118000109,25089,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,2024-12-31,2024,3895459.0,1377991.0,386664.0,1636093.0,823961.0,404369.0,3322608.0,1559298.0,-1033141.0,-345965.0,-42756.0,-342543.0,460541.0
18328118000109,25089,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,2025-12-31,2025,3932838.0,1548118.0,382304.0,1517353.0,1066371.0,310748.0,3586622.0,1685752.0,-1109612.0,-370179.0,40042.0,-369657.0,587912.0
18483666000103,25933,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.,2020-12-31,2020,263720.0,252856.0,2430.0,482.0,231568.0,1502.0,1368190.0,65765.0,0.0,-18284.0,23177.0,-141.0,60475.0
18483666000103,25933,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.,2021-12-31,2021,964182.0,915304.0,274611.0,2471.0,786393.0,143565.0,2184137.0,44901.0,0.0,-18887.0,9121.0,-299.0,-237858.0
18483666000103,25933,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.,2022-12-31,2022,1065410.0,660881.0,211411.0,1963.0,712049.0,124844.0,3993829.0,-36481.0,0.0,183463.0,118480.0,-691.0,41036.0
18483666000103,25933,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.,2023-12-31,2023,805059.0,409628.0,140689.0,2972.0,443231.0,107071.0,2092686.0,85899.0,0.0,-45396.0,1206.0,-677.0,158428.0
18483666000103,25933,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.,2024-12-31,2024,983320.0,585120.0,129742.0,936.0,644832.0,87270.0,2191955.0,159050.0,0.0,-18650.0,27342.0,-794.0,186153.0
20247322000147,25330,ALLIED TECNOLOGIA S.A.,2020-12-31,2020,3715984.0,2724356.0,1401512.0,151473.0,2021812.0,344431.0,4722413.0,738279.0,-341931.0,-132999.0,167645.0,-58393.0,326763.0
20247322000147,25330,ALLIED TECNOLOGIA S.A.,2021-12-31,2021,4528962.0,3340588.0,1412059.0,167224.0,2429993.0,230607.0,5738533.0,807823.0,-380320.0,-143369.0,288231.0,-69871.0,124219.0
20247322000147,25330,ALLIED TECNOLOGIA S.A.,2022-12-31,2022,3688953.0,2567150.0,1437226.0,137016.0,1529603.0,408395.0,5127781.0,772592.0,-436639.0,-141285.0,76146.0,-73539.0,2100537.0
20247322000147,25330,ALLIED TECNOLOGIA S.A.,2023-12-31,2023,3395751.0,2289747.0,959618.0,108952.0,1135058.0,462053.0,5854915.0,678297.0,-374490.0,-124722.0,122444.0,-64910.0,2110635.0
20247322000147,25330,ALLIED TECNOLOGIA S.A.,2024-12-31,2024,3480239.0,2452534.0,944469.0,87189.0,1342037.0,382514.0,5521381.0,657481.0,-392091.0,-133794.0,145532.0,-52899.0,1299080.0
20247322000147,25330,ALLIED TECNOLOGIA S.A.,2025-12-31,2025,3369335.0,2347432.0,1007298.0,68940.0,1305823.0,353667.0,5504620.0,630492.0,-367113.0,-128710.0,332712.0,-48086.0,2179430.0
20258278000170,23507,OUROFINO S.A.,2020-12-31,2020,1103937.0,679623.0,209409.0,277305.0,238693.0,297786.0,730108.0,373986.0,-209826.0,-47225.0,89713.0,-26397.0,111936.0
20258278000170,23507,OUROFINO S.A.,2021-12-31,2021,1192643.0,729711.0,245292.0,314045.0,245643.0,297330.0,904991.0,447171.0,-249052.0,-54106.0,113957.0,-27679.0,46500.0
20258278000170,23507,OUROFINO S.A.,2022-12-31,2022,1346505.0,842904.0,301008.0,342358.0,259425.0,324140.0,1041107.0,528075.0,-290829.0,-62978.0,130658.0,-31994.0,89590.0
20258278000170,23507,OUROFINO S.A.,2023-12-31,2023,1279009.0,828889.0,263035.0,333146.0,232656.0,333122.0,943281.0,431733.0,-275306.0,-58468.0,-49976.0,-36189.0,190301.0
20258278000170,23507,OUROFINO S.A.,2024-12-31,2024,1384706.0,891593.0,354295.0,337343.0,291255.0,302464.0,1024792.0,517685.0,-275949.0,-64079.0,134329.0,-37683.0,73936.0
20258278000170,23507,OUROFINO S.A.,2025-12-31,2025,1565822.0,1023334.0,430367.0,342882.0,288001.0,437439.0,1224992.0,633017.0,-318893.0,-67830.0,222311.0,-38306.0,99914.0
20553221000102,26573,TROCAFONE S.A.,2020-12-31,2020,112204.0,88624.0,20552.0,3314.0,73638.0,24110.0,199212.0,72441.0,-25565.0,-41675.0,779.0,-1333.0,5469.0
21240146000184,25658,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,2020-12-31,2020,4260865.0,3206373.0,1750972.0,97636.0,3110584.0,66492.0,2630908.0,328344.0,-109906.0,-128304.0,76211.0,-33054.0,102800.0
21240146000184,25658,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,2021-12-31,2021,6774910.0,5405111.0,2640037.0,129197.0,4860330.0,345224.0,6580618.0,901941.0,-275481.0,-295460.0,119397.0,-89356.0,32616.0
21240146000184,25658,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,2022-12-31,2022,9910493.0,8207602.0,4660062.0,165731.0,7190670.0,442418.0,11592510.0,1451479.0,-477108.0,-420447.0,28947.0,-108911.0,-144106.0
21240146000184,25658,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,2023-12-31,2023,7714016.0,5553467.0,3327372.0,219657.0,6147186.0,96115.0,9399096.0,968105.0,-343292.0,-413784.0,-367292.0,-147420.0,83488.0
21240146000184,25658,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL,2024-12-31,2024,3638761.0,1811716.0,988142.0,172415.0,5209502.0,48487.0,4612367.0,-61681.0,-1196547.0,-387635.0,-3020012.0,-160983.0,-217816.0
