principal,sem_winsorizacao,winsor_2_5,padronizacao_por_ano,max_samples_64,max_samples_n,arvores_200,COMPANHIA_ANO
0.4731550802139035,0.4473262032085562,0.4529411764705883,0.5328877005347594,0.4740641711229946,0.4681818181818181,0.4689839572192513,EMPREENDIMENTOS PAGUE MENOS S.A. (2025)
0.2468449197860962,0.2740641711229946,0.21524064171122995,0.03368983957219251,0.22967914438502673,0.2647058823529411,0.25481283422459894,JHSF MALLS S.A. (2021)
0.3063101604278075,0.31176470588235294,0.30374331550802136,0.2585561497326203,0.31016042780748665,0.30748663101604273,0.30748663101604273,JHSF MALLS S.A. (2022)
0.6337967914438504,0.6510695187165777,0.6377005347593582,0.5609625668449199,0.6478609625668449,0.6350267379679145,0.6371657754010693,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A. (2021)
0.3918716577540108,0.36042780748663095,0.38342245989304813,0.36363636363636365,0.39438502673796794,0.39278074866310164,0.3978609625668449,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A. (2022)
0.6687700534759357,0.6631016042780749,0.7056149732620322,0.7080213903743315,0.6713903743315509,0.662566844919786,0.6556149732620321,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A. (2023)
0.8682352941176468,0.8494652406417114,0.839572192513369,0.8810160427807487,0.8494652406417114,0.8772727272727273,0.8633689839572194,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A. (2024)
0.3689839572192514,0.3614973262032085,0.3676470588235294,0.37272727272727274,0.35909090909090907,0.3663101604278075,0.360427807486631,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A. (2025)
0.5256684491978612,0.5237967914438504,0.5558823529411765,0.32433155080213905,0.551336898395722,0.509625668449198,0.5286096256684493,TECHNOS S.A. (2021)
0.297005347593583,0.29251336898395724,0.27352941176470585,0.33850267379679144,0.28368983957219257,0.32272727272727264,0.32673796791443854,TECHNOS S.A. (2022)
0.3188235294117648,0.32032085561497325,0.2938502673796792,0.24893048128342246,0.317379679144385,0.30855614973262036,0.3336898395721925,TECHNOS S.A. (2023)
0.3488770053475937,0.36122994652406415,0.31363636363636366,0.5026737967914439,0.33609625668449195,0.35481283422459897,0.34893048128342247,TECHNOS S.A. (2024)
0.5011764705882352,0.49946524064171116,0.46737967914438505,0.6098930481283423,0.48903743315508014,0.5109625668449198,0.5077540106951872,TECHNOS S.A. (2025)
0.904598930481283,0.8975935828877004,0.7989304812834226,0.8561497326203209,0.8663101604278077,0.9139037433155078,0.8999999999999998,W2W E-COMMERCE DE VINHOS S.A. (2021)
0.5219251336898396,0.5195187165775403,0.5251336898395723,0.43262032085561497,0.5072192513368984,0.5235294117647058,0.531283422459893,W2W E-COMMERCE DE VINHOS S.A. (2022)
0.0348663101604278,0.0358288770053476,0.039037433155080216,0.030213903743315507,0.03502673796791443,0.03074866310160428,0.040641711229946524,W2W E-COMMERCE DE VINHOS S.A. (2023)
0.2449197860962567,0.23048128342245988,0.2553475935828877,0.3711229946524064,0.260427807486631,0.24705882352941172,0.2489304812834224,W2W E-COMMERCE DE VINHOS S.A. (2024)
0.5602139037433155,0.5601604278074866,0.5459893048128343,0.6743315508021389,0.5564171122994652,0.5657754010695186,0.5647058823529412,W2W E-COMMERCE DE VINHOS S.A. (2025)
0.4863101604278074,0.48475935828877,0.4885026737967914,0.6360962566844919,0.5010695187165776,0.4850267379679144,0.4836898395721925,CPX DISTRIBUIDORA S.A. (2025)
0.1488770053475936,0.13609625668449202,0.15000000000000002,0.2612299465240642,0.15802139037433155,0.15240641711229946,0.15133689839572195,D1000 VAREJO FARMA PARTICIPAÇÕES S.A. (2021)
0.2249197860962566,0.2596256684491978,0.21229946524064167,0.1411764705882353,0.2259358288770054,0.22085561497326206,0.23422459893048128,D1000 VAREJO FARMA PARTICIPAÇÕES S.A. (2022)
0.3928342245989304,0.4251336898395722,0.3989304812834225,0.36951871657754004,0.3991978609625668,0.3967914438502674,0.3914438502673797,D1000 VAREJO FARMA PARTICIPAÇÕES S.A. (2023)
0.3896256684491976,0.4024064171122994,0.40133689839572195,0.5625668449197861,0.4042780748663102,0.3858288770053476,0.3780748663101604,D1000 VAREJO FARMA PARTICIPAÇÕES S.A. (2024)
0.1879144385026737,0.1868983957219251,0.18636363636363634,0.34866310160427805,0.18556149732620317,0.17112299465240643,0.1879679144385027,D1000 VAREJO FARMA PARTICIPAÇÕES S.A. (2025)
0.6256684491978609,0.6248663101604278,0.6336898395721924,0.40909090909090917,0.6323529411764706,0.6262032085561497,0.6248663101604279,CM HOSPITALAR S.A (2021)
0.9167914438502672,0.9131016042780746,0.8312834224598931,0.8991978609625668,0.8858288770053475,0.9203208556149732,0.9114973262032086,CM HOSPITALAR S.A (2022)
0.7452406417112301,0.7729946524064172,0.679144385026738,0.7716577540106951,0.6975935828877005,0.7532085561497326,0.7377005347593583,CM HOSPITALAR S.A (2023)
0.7425668449197862,0.7299465240641712,0.7604278074866311,0.7267379679144383,0.7556149732620321,0.7358288770053474,0.737433155080214,CM HOSPITALAR S.A (2024)
0.4654545454545453,0.4622994652406418,0.5040106951871658,0.5935828877005348,0.47112299465240637,0.4553475935828876,0.4614973262032085,CM HOSPITALAR S.A (2025)
0.7993582887700533,0.8072192513368982,0.8037433155080214,0.656951871657754,0.802941176470588,0.7949197860962569,0.7999999999999998,GRUPO SBF S.A. (2021)
0.1898395721925134,0.19411764705882348,0.17085561497326202,0.13155080213903744,0.18529411764705878,0.1818181818181818,0.18368983957219248,GRUPO SBF S.A. (2022)
0.0354010695187165,0.03262032085561497,0.02700534759358288,0.07326203208556151,0.033689839572192515,0.037700534759358285,0.052941176470588235,GRUPO SBF S.A. (2023)
0.0726203208556149,0.06791443850267379,0.07192513368983958,0.05187165775401069,0.07326203208556151,0.06951871657754011,0.07994652406417112,GRUPO SBF S.A. (2024)
0.0077005347593582,0.008021390374331548,0.008288770053475935,0.03155080213903742,0.007486631016042779,0.007486631016042777,0.00962566844919786,GRUPO SBF S.A. (2025)
0.5038502673796791,0.5024064171122994,0.5470588235294118,0.4788770053475934,0.513903743315508,0.4997326203208556,0.4983957219251337,CVLB BRASIL S.A (2021)
